id,titulo,descricao,status_inicial,tags,data_limite,concluded_at,concluded_by,responsavel_inicial
1,""Dar Nota Pecege (08 de 15)"","""",""com_data"",""Pecege"",""14/04/2025"","2025-04-14T13:01:24.459Z","Marcus",""Marcus""
4,""Oia"","""",""em_andamento"",""Ola"",""23/12/2025"","2025-04-15T01:00:05.771Z","freitas",""freitas""
5,""Oia"","""",""urgente"",""Ola"",""23/12/2025"","2025-04-15T01:00:38.655Z","freitas",""freitas""
3,""Novas Funcionalidade Kamban"",""Encontrar melhorias no Kamban"," o que falta o que pode ser melhorado? "",""urgente"",""Estagio"","2025-04-18T01:10:29.305Z","Bruno e Marcus",""14/04""
1,""Corrigir sexta (aula 08)"","""",""nao_iniciado"",""Faculdade"",""17/04/2025"","2025-04-18T01:10:31.176Z","Marcus",""Marcus""
